collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Calm Down with this chilled out playlist. For when it's time to just sit and bask in the afterglow.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5bjCEbRU4SJ'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5bjCEbRU4SJ,37i9dQZF1DX5bjCEbRU4SJ,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002278197087524cc094f86e82b', 'width': None}]",Calm Down,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDc1OCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5bjCEbRU4SJ/tracks', 'total': 70}",playlist,spotify:playlist:37i9dQZF1DX5bjCEbRU4SJ
False,"Essential tracks from the decade that catapulted electronic music, hip hop and indie rock into the mainstream.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd'},https://api.spotify.com/v1/playlists/37i9dQZF1DX4o1oenSJRJd,37i9dQZF1DX4o1oenSJRJd,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002199f7cb02da81d08f730ba30', 'width': None}]",All Out 00s,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDc5MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4o1oenSJRJd/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX4o1oenSJRJd
False,The ultimate romantic playlist.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX7rOY2tZUw1k'},https://api.spotify.com/v1/playlists/37i9dQZF1DX7rOY2tZUw1k,37i9dQZF1DX7rOY2tZUw1k,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002dbb59cfe736c837ecfff42b1', 'width': None}]",Timeless Love Songs,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MTA5ODMzNiwwMDAwMDAyODAwMDAwMTcwMjBjZGZmYzUwMDAwMDE2ZDE1MzY5Zjcx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX7rOY2tZUw1k/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX7rOY2tZUw1k
False,Stay cozy as the sounds of the evening unfold...,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcWBRiUaG3o5'},https://api.spotify.com/v1/playlists/37i9dQZF1DXcWBRiUaG3o5,37i9dQZF1DXcWBRiUaG3o5,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002bdd580456b856d8e1176ffb1', 'width': None}]",Evening Acoustic,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MDc0MzA5NCwwMDAwMDA0YTAwMDAwMTcwMGJhMTcxNWYwMDAwMDE2ZDAwYmFjZWVh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcWBRiUaG3o5/tracks', 'total': 110}",playlist,spotify:playlist:37i9dQZF1DXcWBRiUaG3o5
False,Hypnotic bliss.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWSiZVO2J6WeI'},https://api.spotify.com/v1/playlists/37i9dQZF1DWSiZVO2J6WeI,37i9dQZF1DWSiZVO2J6WeI,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002cef1e1e83454017583e8bd8f', 'width': None}]",Dreamy Vibes,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDczNSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWSiZVO2J6WeI/tracks', 'total': 70}",playlist,spotify:playlist:37i9dQZF1DWSiZVO2J6WeI
False,New laid back tracks.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX6uQnoHESB3u'},https://api.spotify.com/v1/playlists/37i9dQZF1DX6uQnoHESB3u,37i9dQZF1DX6uQnoHESB3u,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/e14506e8a1244aaea541f287b77b8a22f01f8065', 'width': None}]",Brand New Chill,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDc3MCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX6uQnoHESB3u/tracks', 'total': 130}",playlist,spotify:playlist:37i9dQZF1DX6uQnoHESB3u
False,The beautiful noise: sweet and sour fuzz to warm your heart.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX6ujZpAN0v9r'},https://api.spotify.com/v1/playlists/37i9dQZF1DX6ujZpAN0v9r,37i9dQZF1DX6ujZpAN0v9r,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000024ae1db36052d8e3a4fbada0b', 'width': None}]",Shoegaze & Beyond,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDc5MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX6ujZpAN0v9r/tracks', 'total': 160}",playlist,spotify:playlist:37i9dQZF1DX6ujZpAN0v9r
False,Slow jams for the passionate.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0QKpU3cGsyb'},https://api.spotify.com/v1/playlists/37i9dQZF1DX0QKpU3cGsyb,37i9dQZF1DX0QKpU3cGsyb,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000029fec2373847cde79dcdba5b5', 'width': None}]",Bedroom Jams,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjI2NTkzNCwwMDAwMDA5ZjAwMDAwMTcwNjY2NjIyZWQwMDAwMDE2ZDE1NTk4OWUy,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0QKpU3cGsyb/tracks', 'total': 69}",playlist,spotify:playlist:37i9dQZF1DX0QKpU3cGsyb
False,Relax with this soothing soundtrack from the nineties...,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWV8xrpik0esU'},https://api.spotify.com/v1/playlists/37i9dQZF1DWV8xrpik0esU,37i9dQZF1DWV8xrpik0esU,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000272566b1d303b51c75e3e3725', 'width': None}]",Easy 90s,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDc0NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWV8xrpik0esU/tracks', 'total': 80}",playlist,spotify:playlist:37i9dQZF1DWV8xrpik0esU
False,A relaxing dance soundtrack to keep you calm.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWVViFqIfGGV7'},https://api.spotify.com/v1/playlists/37i9dQZF1DWVViFqIfGGV7,37i9dQZF1DWVViFqIfGGV7,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/db8d89495c6166ef49074b19fec8d3471de764aa', 'width': None}]",Chilled Dance,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3NTQ3MzU5NiwwMDAwMDAxNjAwMDAwMTZlZDE4YjQ4MTEwMDAwMDE2ODk4YzI3ZGUz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWVViFqIfGGV7/tracks', 'total': 46}",playlist,spotify:playlist:37i9dQZF1DWVViFqIfGGV7
