collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,The most streamed Arabic songs on Spotify MENA in 2019.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX403FtPdcGpX'},https://api.spotify.com/v1/playlists/37i9dQZF1DX403FtPdcGpX,37i9dQZF1DX403FtPdcGpX,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000020e73a62d95d993815888ce0d', 'width': None}]",Top Arabic Tracks of 2019,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDQzMCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX403FtPdcGpX/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX403FtPdcGpX
False,North African party anthems.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5pdHFmCpAKF'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5pdHFmCpAKF,37i9dQZF1DX5pdHFmCpAKF,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/096b41eba681df8b684ef24dd61b94546fc1b2cf', 'width': None}]",Maghreb Party,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDQxNSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5pdHFmCpAKF/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX5pdHFmCpAKF
False,The finest and freshest Maghreb hits Cover: Don Bigg.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWYHO8PTSQ9fM'},https://api.spotify.com/v1/playlists/37i9dQZF1DWYHO8PTSQ9fM,37i9dQZF1DWYHO8PTSQ9fM,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002265c77d3e7de6a5e106594d1', 'width': None}]",Today's Top Maghreb Hits,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjU3MzY0MywwMDAwMDA3MTAwMDAwMTcwNzhiZDY4YWIwMDAwMDE3MDMwM2Y3YjQ3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWYHO8PTSQ9fM/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWYHO8PTSQ9fM
False,North African Hip-Hop at it's best. Cover: Inkonnu.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5qgrUJCOKNp'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5qgrUJCOKNp,37i9dQZF1DX5qgrUJCOKNp,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000267b5acff5c758544f5ac3f49', 'width': None}]",Maghreb Hip-Hop,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDM5MCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5qgrUJCOKNp/tracks', 'total': 80}",playlist,spotify:playlist:37i9dQZF1DX5qgrUJCOKNp
False,Legendary Egyptian icons.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZKucvJjqs4a'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZKucvJjqs4a,37i9dQZF1DWZKucvJjqs4a,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/591552ee49acc77a7dde5c51fbbafec82d50bf99', 'width': None}]",Egyptian Tarab Masterpieces,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDQxNCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZKucvJjqs4a/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWZKucvJjqs4a
False,Enjoy your journey with these joyful hits.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXdcjKKBPqh1t'},https://api.spotify.com/v1/playlists/37i9dQZF1DXdcjKKBPqh1t,37i9dQZF1DXdcjKKBPqh1t,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/f4d8b82929b14e413adc33c0abbc5c40d5c19ad1', 'width': None}]",Feel Good Arabic Hits,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDQxNSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXdcjKKBPqh1t/tracks', 'total': 60}",playlist,spotify:playlist:37i9dQZF1DXdcjKKBPqh1t
False,Electronic Trap House with Arab spices.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcC6YLqj8ET8'},https://api.spotify.com/v1/playlists/37i9dQZF1DXcC6YLqj8ET8,37i9dQZF1DXcC6YLqj8ET8,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/b0af420576bc612c8f4fd58695d044af823cd308', 'width': None}]",Arabic Trap,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDQzMSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcC6YLqj8ET8/tracks', 'total': 55}",playlist,spotify:playlist:37i9dQZF1DXcC6YLqj8ET8
False,Top Arabic hits are right here. Cover: Amr Diab.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5cO1uP1XC1g'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5cO1uP1XC1g,37i9dQZF1DX5cO1uP1XC1g,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002d358e793b576aeafcee5c25c', 'width': None}]",Top Arabic Hits - Yalla يلا,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjY3MzkzNywwMDAwMDE0NjAwMDAwMTcwN2ViN2MzNTIwMDAwMDE3MDUzOGRkODA4,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5cO1uP1XC1g/tracks', 'total': 83}",playlist,spotify:playlist:37i9dQZF1DX5cO1uP1XC1g
False,Dance and electronic music with Arab vibes. Cover: Amr Diab.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4rmnjMBxfCv'},https://api.spotify.com/v1/playlists/37i9dQZF1DX4rmnjMBxfCv,37i9dQZF1DX4rmnjMBxfCv,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002904a18327b7a9a455f879062', 'width': None}]",mint نعنع,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjg0MDM5OCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4rmnjMBxfCv/tracks', 'total': 60}",playlist,spotify:playlist:37i9dQZF1DX4rmnjMBxfCv
False,"Détendez-vous au son de titres Soul, R&B et Hip-Hop alternatif.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX8LIZNmf5qj3'},https://api.spotify.com/v1/playlists/37i9dQZF1DX8LIZNmf5qj3,37i9dQZF1DX8LIZNmf5qj3,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000024d8e65130ee3cbf31fbc30ed', 'width': None}]",Douces Vibes,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3OTU0NDA5OSwwMDAwMDA0NzAwMDAwMTZmYzQyYTNiYmUwMDAwMDE2ZTdlMTE5Yzdj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX8LIZNmf5qj3/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX8LIZNmf5qj3
