collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Checa los éxitos más sonados en México. Foto: Bad Bunny & Sech,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5BAPG29mHS8'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5BAPG29mHS8,37i9dQZF1DX5BAPG29mHS8,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000213d362e34e3adef6fcd9feb3', 'width': None}]",Éxitos México,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjIyMzM4NSwwMDAwMDEyNzAwMDAwMTcwNjNkY2U0ZTEwMDAwMDE3MDYzZGM5Zjdh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5BAPG29mHS8/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX5BAPG29mHS8
False,Date un hit de hip-hop local e internacional para chillear. Foto: Eminem,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXbONvB5b3uef'},https://api.spotify.com/v1/playlists/37i9dQZF1DXbONvB5b3uef,37i9dQZF1DXbONvB5b3uef,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000021e6c88255c2480be9fa83f20', 'width': None}]",Dar el Rol,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjMwNTY1NiwwMDAwMDA5MDAwMDAwMTcwNjhjNDNkNDMwMDAwMDE2ZmU5YjA2N2U1,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXbONvB5b3uef/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DXbONvB5b3uef
False,Los temas que pronto sonarán en todos lados. Foto: Matisse y Guaynaa,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXc9orRugI29r'},https://api.spotify.com/v1/playlists/37i9dQZF1DXc9orRugI29r,37i9dQZF1DXc9orRugI29r,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000023ab106f785171ebce2d80066', 'width': None}]",Próximos Hits,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjY1NjU5NSwwMDAwMDA3NzAwMDAwMTcwN2RhZjI3YjAwMDAwMDE3MDdkOTg4ODU3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXc9orRugI29r/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DXc9orRugI29r
False,¡Deja que la música te inspire para acabar con tu tarea!,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0yN5997BIDH'},https://api.spotify.com/v1/playlists/37i9dQZF1DX0yN5997BIDH,37i9dQZF1DX0yN5997BIDH,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/2624f24a4e26d51009a1ce0a65e4fa8359237937', 'width': None}]",Tarea Casual,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDMyNywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0yN5997BIDH/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX0yN5997BIDH
False,Trap y electrónica instrumental para enfoque.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5EY8JFBuaLS'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5EY8JFBuaLS,37i9dQZF1DX5EY8JFBuaLS,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002e1d0ca8475738e4474a4abcd', 'width': None}]",Enfoque con Energía,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3OTI5NzI4MywwMDAwMDAwNjAwMDAwMTZmYjU3NDFmN2IwMDAwMDE2ZTRkMTk4MzY2,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5EY8JFBuaLS/tracks', 'total': 92}",playlist,spotify:playlist:37i9dQZF1DX5EY8JFBuaLS
False,"Café caliente, sillón blandito y la mejor lectura o compañía.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZkMGGysxknj'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZkMGGysxknj,37i9dQZF1DWZkMGGysxknj,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002ae7cf442331b7793556364b6', 'width': None}]","Café, Libros.","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDMyOSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZkMGGysxknj/tracks', 'total': 150}",playlist,spotify:playlist:37i9dQZF1DWZkMGGysxknj
False,Todo lucirá más hermoso si te inspiras con música instrumental.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXc29CDb7hd8Z'},https://api.spotify.com/v1/playlists/37i9dQZF1DXc29CDb7hd8Z,37i9dQZF1DXc29CDb7hd8Z,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/683beb76a0448d86d5b551c135ecfd6fb1e3b7f5', 'width': None}]",Música para Pintar,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MDk5NjIxMCwwMDAwMDA3NjAwMDAwMTcwMWFiN2IwYTQwMDAwMDE2ZDVmNWFkODlm,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXc29CDb7hd8Z/tracks', 'total': 76}",playlist,spotify:playlist:37i9dQZF1DXc29CDb7hd8Z
False,Jóvenes y renovadas expresiones de la bella tradición mexicana. Foto: El Bebeto,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcF3YtBdCala'},https://api.spotify.com/v1/playlists/37i9dQZF1DXcF3YtBdCala,37i9dQZF1DXcF3YtBdCala,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002ba9b36f224991df2eac4ca9f', 'width': None}]",Nuevo Mariachi,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MDQ1MDQ2MCwwMDAwMDAzMDAwMDAwMTZmZmEzMDMxZGIwMDAwMDE2ZmM1YjQwOGEz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcF3YtBdCala/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DXcF3YtBdCala
False,Las nuevas voces y rostros del pop mexicano y latino. Foto: LÚA,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX6LVkNunXMAU'},https://api.spotify.com/v1/playlists/37i9dQZF1DX6LVkNunXMAU,37i9dQZF1DX6LVkNunXMAU,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002919a4d5da8742f0909093c3c', 'width': None}]",Academia Pop,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjY0OTYwNSwwMDAwMDFhZTAwMDAwMTcwN2Q0NDdkZmUwMDAwMDE2ZmQzODIyOWY1,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX6LVkNunXMAU/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX6LVkNunXMAU
False,Temas inolvidables del baúl de los recuerdos.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX20VDU4OIBfS'},https://api.spotify.com/v1/playlists/37i9dQZF1DX20VDU4OIBfS,37i9dQZF1DX20VDU4OIBfS,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000249f180268315446c0bea879e', 'width': None}]",Canciones del Recuerdo,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDMyOCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX20VDU4OIBfS/tracks', 'total': 65}",playlist,spotify:playlist:37i9dQZF1DX20VDU4OIBfS
