collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Checa los éxitos más sonados en México. Foto: Bad Bunny & Sech,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5BAPG29mHS8'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5BAPG29mHS8,37i9dQZF1DX5BAPG29mHS8,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000213d362e34e3adef6fcd9feb3', 'width': None}]",Éxitos México,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjIyMzM4NSwwMDAwMDEyNzAwMDAwMTcwNjNkY2U0ZTEwMDAwMDE3MDYzZGM5Zjdh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5BAPG29mHS8/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX5BAPG29mHS8
False,"Café caliente, sillón blandito y la mejor lectura o compañía.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZkMGGysxknj'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZkMGGysxknj,37i9dQZF1DWZkMGGysxknj,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002ae7cf442331b7793556364b6', 'width': None}]","Café, Libros.","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyMzYwNCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZkMGGysxknj/tracks', 'total': 150}",playlist,spotify:playlist:37i9dQZF1DWZkMGGysxknj
False,"El amor no se escucha, se siente...",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWSF59R74xaFB'},https://api.spotify.com/v1/playlists/37i9dQZF1DWSF59R74xaFB,37i9dQZF1DWSF59R74xaFB,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002711f6cfc96ee4d185fda3686', 'width': None}]",Radio Corazón,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyMzU5MCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWSF59R74xaFB/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DWSF59R74xaFB
False,Que no te gane la ansiedad y el estrés... respira con Dalai...,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX57hHpm3vGiU'},https://api.spotify.com/v1/playlists/37i9dQZF1DX57hHpm3vGiU,37i9dQZF1DX57hHpm3vGiU,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/4ed788e5da275fb8d99fdf95e1bbe3e46b8ffc7f', 'width': None}]",Dalai,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU2ODM5ODI1NCwwMDAwMDAwYTAwMDAwMTZkMmJkMjIxNGMwMDAwMDE2ZDI2Mjk1YjJl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX57hHpm3vGiU/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX57hHpm3vGiU
False,"Que no te cuenten: las rolas virales imperdibles en MX. Foto: Flyboiz, MC Davo y Felp 22",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4KeocBrdbJg'},https://api.spotify.com/v1/playlists/37i9dQZF1DX4KeocBrdbJg,37i9dQZF1DX4KeocBrdbJg,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000227386a7671fd14afad43d25e', 'width': None}]",Top Viral: México,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc3NzQ2OCwwMDAwMDE3YTAwMDAwMTcwODRlMzg1OGYwMDAwMDE3MDQzNzg0OWRj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4KeocBrdbJg/tracks', 'total': 60}",playlist,spotify:playlist:37i9dQZF1DX4KeocBrdbJg
False,¡Ponte cursi con las canciones más románticas de banda!,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX1S3aM8sZo63'},https://api.spotify.com/v1/playlists/37i9dQZF1DX1S3aM8sZo63,37i9dQZF1DX1S3aM8sZo63,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000023c28c7b81ff5774befbb6e54', 'width': None}]",CursiBanda,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyMzU2NywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX1S3aM8sZo63/tracks', 'total': 60}",playlist,spotify:playlist:37i9dQZF1DX1S3aM8sZo63
False,Súper hits en inglés y videos verticales. Foto: Dua Lipa,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX92MLsP3K1fI'},https://api.spotify.com/v1/playlists/37i9dQZF1DX92MLsP3K1fI,37i9dQZF1DX92MLsP3K1fI,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002e961baa3fdbac1b542b1733c', 'width': None}]",Top Pop,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgxNTg5NCwwMDAwMDE3YjAwMDAwMTcwODcyZGRiZTUwMDAwMDE3MDg3MmRiMDY3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX92MLsP3K1fI/tracks', 'total': 103}",playlist,spotify:playlist:37i9dQZF1DX92MLsP3K1fI
False,¡Deja que la música te inspire para acabar con tu tarea!,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0yN5997BIDH'},https://api.spotify.com/v1/playlists/37i9dQZF1DX0yN5997BIDH,37i9dQZF1DX0yN5997BIDH,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/2624f24a4e26d51009a1ce0a65e4fa8359237937', 'width': None}]",Tarea Casual,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyMzU5NywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0yN5997BIDH/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX0yN5997BIDH
False,La sutileza del piano para enriquecer tu espacio.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXa8Xx03D65RT'},https://api.spotify.com/v1/playlists/37i9dQZF1DXa8Xx03D65RT,37i9dQZF1DXa8Xx03D65RT,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/f7509a331bf20013718ef1815f75e03cdbff3167', 'width': None}]",Piano de Fondo,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MDk5NjE1NiwwMDAwMDBhNzAwMDAwMTcwMWFiNmRjODkwMDAwMDE2ODk5NzQzZDMz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXa8Xx03D65RT/tracks', 'total': 149}",playlist,spotify:playlist:37i9dQZF1DXa8Xx03D65RT
False,La tierra prometida de la filosofía hipster. Foto: King Krule,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZ0Zsena4JFh'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZ0Zsena4JFh,37i9dQZF1DWZ0Zsena4JFh,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002c37696ee22ddb158afb91ab2', 'width': None}]",Indielandia,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyMzYyMywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZ0Zsena4JFh/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWZ0Zsena4JFh
