collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Soğuyan havaların en sevilen adresi.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX32iTMwjM5Xf'},https://api.spotify.com/v1/playlists/37i9dQZF1DX32iTMwjM5Xf,37i9dQZF1DX32iTMwjM5Xf,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/6cedc55891dc6322fab36ba7c39865e9d96f644b', 'width': None}]",Evde,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDc4NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX32iTMwjM5Xf/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX32iTMwjM5Xf
False,Son yılların olay yaratan Türkçe şarkıları.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWXoHqNlfcLJb'},https://api.spotify.com/v1/playlists/37i9dQZF1DWXoHqNlfcLJb,37i9dQZF1DWXoHqNlfcLJb,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002127e9c23180f0846552821a2', 'width': None}]",OLAY,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDc5MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWXoHqNlfcLJb/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWXoHqNlfcLJb
False,Dinlemekten vazgeçemediklerin ve en yeni hitler. Kapak: Sezen Aksu,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0FGW2dUyDef'},https://api.spotify.com/v1/playlists/37i9dQZF1DX0FGW2dUyDef,37i9dQZF1DX0FGW2dUyDef,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000250b8ad0e5aca387a8976d695', 'width': None}]",Hot Hits Türkiye,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjUzNzAzNiwwMDAwMDBmODAwMDAwMTcwNzY4ZWQzMzYwMDAwMDE3MDc2OGU0MDMw,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0FGW2dUyDef/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX0FGW2dUyDef
False,Egzersizinin her anına tempo tutacak parçalar.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZaiuILgorJB'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZaiuILgorJB,37i9dQZF1DWZaiuILgorJB,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/6c9aaae532dbce35e269ab582e9f68313920ecfa', 'width': None}]",Harekete Geç,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDgzNywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZaiuILgorJB/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWZaiuILgorJB
False,Hassas gönüllere birebir. En sevdiğin Türkçe aşk şarkıları.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXbSFQozok66H'},https://api.spotify.com/v1/playlists/37i9dQZF1DXbSFQozok66H,37i9dQZF1DXbSFQozok66H,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002c19540f0ace30817e4b2d996', 'width': None}]",Seven Kalpler,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDc5MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXbSFQozok66H/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DXbSFQozok66H
False,En yeni yerli çıkışları ilk önce sen keşfet!  Kapak: Bergüzar Korel,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX9G2MXp8YYmm'},https://api.spotify.com/v1/playlists/37i9dQZF1DX9G2MXp8YYmm,37i9dQZF1DX9G2MXp8YYmm,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000026c341a42e0d33a2b31e0215e', 'width': None}]",Lokal,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjU1NjE3MCwwMDAwMDBjMDAwMDAwMTcwNzdiMmNhMDkwMDAwMDE3MDc3YjJhYzAy,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX9G2MXp8YYmm/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX9G2MXp8YYmm
False,Bol köpüklü şarkılar.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5oKU1zTFGEH'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5oKU1zTFGEH,37i9dQZF1DX5oKU1zTFGEH,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002d2543877ba4b997c5671e7f8', 'width': None}]",Türk Kahvesi,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDgwNSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5oKU1zTFGEH/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX5oKU1zTFGEH
False,Pop trendlerini takip et.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX5cc7vmfioLh'},https://api.spotify.com/v1/playlists/37i9dQZF1DX5cc7vmfioLh,37i9dQZF1DX5cc7vmfioLh,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000024ed4b42173c2056484294703', 'width': None}]",Yabancı Pop,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDg0MCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX5cc7vmfioLh/tracks', 'total': 60}",playlist,spotify:playlist:37i9dQZF1DX5cc7vmfioLh
False,Chill birkaç saat için en ideal şarkılar.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXa1qRoAAkUFs'},https://api.spotify.com/v1/playlists/37i9dQZF1DXa1qRoAAkUFs,37i9dQZF1DXa1qRoAAkUFs,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/25d3cff298412518e6d41c896d2719d2173345d3', 'width': None}]",Chill Şarkılar,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NDgxMywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXa1qRoAAkUFs/tracks', 'total': 56}",playlist,spotify:playlist:37i9dQZF1DXa1qRoAAkUFs
False,Gitar ve davulu konuşturanlar. Kapak: Ufuk Beydemir,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX3RfxtU3KC3j'},https://api.spotify.com/v1/playlists/37i9dQZF1DX3RfxtU3KC3j,37i9dQZF1DX3RfxtU3KC3j,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000236af346c278b767c63b13f4e', 'width': None}]",Türkçe Rock,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjI3NDA4NCwwMDAwMDA2MzAwMDAwMTcwNjZlMjdkOGEwMDAwMDE3MDYyMDRlMjll,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3RfxtU3KC3j/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX3RfxtU3KC3j
