collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Soğuyan havaların en sevilen adresi.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX32iTMwjM5Xf'},https://api.spotify.com/v1/playlists/37i9dQZF1DX32iTMwjM5Xf,37i9dQZF1DX32iTMwjM5Xf,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/6cedc55891dc6322fab36ba7c39865e9d96f644b', 'width': None}]",Evde,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDI3OSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX32iTMwjM5Xf/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX32iTMwjM5Xf
False,Favori şarkılarının en sakin versiyonları.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWUplNWv18RoG'},https://api.spotify.com/v1/playlists/37i9dQZF1DWUplNWv18RoG,37i9dQZF1DWUplNWv18RoG,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/98905e50f223533b0e991979de70c291af7c6745', 'width': None}]",Akustik Kuşağı,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDMwNCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWUplNWv18RoG/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWUplNWv18RoG
False,Arkada çalmalık yerli urban parçalar. Kapak: Şam,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWT98dlN29E2W'},https://api.spotify.com/v1/playlists/37i9dQZF1DWT98dlN29E2W,37i9dQZF1DWT98dlN29E2W,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000023f671fd5f65ea66d19cab967', 'width': None}]",Türkçe Chill Flow,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MTAyOTkyMiwwMDAwMDAwYjAwMDAwMTcwMWNiYTE2MTIwMDAwMDE2ZmY4N2ZjNmI4,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWT98dlN29E2W/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWT98dlN29E2W
False,Kop kop!,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWWISEYemjDXp'},https://api.spotify.com/v1/playlists/37i9dQZF1DWWISEYemjDXp,37i9dQZF1DWWISEYemjDXp,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/3ea10394e207f774b0062a30697749b0a3f11a79', 'width': None}]",Eller Havaya,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3Mzc2OTc5NiwwMDAwMDAwYTAwMDAwMTZlNmJmZDVkMGIwMDAwMDE2YmY1ZmE0ZGRj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWWISEYemjDXp/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWWISEYemjDXp
False,Son yılların olay yaratan Türkçe şarkıları.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWXoHqNlfcLJb'},https://api.spotify.com/v1/playlists/37i9dQZF1DWXoHqNlfcLJb,37i9dQZF1DWXoHqNlfcLJb,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002127e9c23180f0846552821a2', 'width': None}]",OLAY,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDI3MCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWXoHqNlfcLJb/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWXoHqNlfcLJb
False,En sevdiğin yerli ve yabancı romantik şarkılar.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZ88lB6YFCc1'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZ88lB6YFCc1,37i9dQZF1DWZ88lB6YFCc1,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/eb76f8bf05f5161d146ee2e82f0da7b24cd7534e', 'width': None}]",Slow Pop,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDI5OSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZ88lB6YFCc1/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWZ88lB6YFCc1
False,Egzersizinin her anına tempo tutacak parçalar.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZaiuILgorJB'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZaiuILgorJB,37i9dQZF1DWZaiuILgorJB,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/6c9aaae532dbce35e269ab582e9f68313920ecfa', 'width': None}]",Harekete Geç,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDI2NSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZaiuILgorJB/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWZaiuILgorJB
False,Chill birkaç saat için en ideal şarkılar.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXa1qRoAAkUFs'},https://api.spotify.com/v1/playlists/37i9dQZF1DXa1qRoAAkUFs,37i9dQZF1DXa1qRoAAkUFs,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/25d3cff298412518e6d41c896d2719d2173345d3', 'width': None}]",Chill Şarkılar,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDI3OSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXa1qRoAAkUFs/tracks', 'total': 56}",playlist,spotify:playlist:37i9dQZF1DXa1qRoAAkUFs
False,Gitar ve davulu konuşturanlar. Kapak: Ufuk Beydemir,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX3RfxtU3KC3j'},https://api.spotify.com/v1/playlists/37i9dQZF1DX3RfxtU3KC3j,37i9dQZF1DX3RfxtU3KC3j,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000236af346c278b767c63b13f4e', 'width': None}]",Türkçe Rock,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjI3NDA4NCwwMDAwMDA2MzAwMDAwMTcwNjZlMjdkOGEwMDAwMDE3MDYyMDRlMjll,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3RfxtU3KC3j/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX3RfxtU3KC3j
False,mp3 çalarların devri ve yepyeni bir milenyum.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWYteTcNVQZNq'},https://api.spotify.com/v1/playlists/37i9dQZF1DWYteTcNVQZNq,37i9dQZF1DWYteTcNVQZNq,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/240cd1e8f8ca66e0df201191b66f9ee272db8246', 'width': None}]",Türkçe 2000'ler,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDI3MiwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWYteTcNVQZNq/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWYteTcNVQZNq
