collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Genre-less. Quality first always. Cover: Brent Faiyaz,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWWBHeXOYZf74'},https://api.spotify.com/v1/playlists/37i9dQZF1DWWBHeXOYZf74,37i9dQZF1DWWBHeXOYZf74,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000025f9cc3c29275cacb6bc12948', 'width': None}]",POLLEN,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgxNjA2OSwwMDAwMDFkZTAwMDAwMTcwODczMDg1YjcwMDAwMDE3MDU4Y2Q2OWZj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWWBHeXOYZf74/tracks', 'total': 139}",playlist,spotify:playlist:37i9dQZF1DWWBHeXOYZf74
False,Chillout hip-hop vibes. Cover: Mick Jenkins,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWT6MhXz0jw61'},https://api.spotify.com/v1/playlists/37i9dQZF1DWT6MhXz0jw61,37i9dQZF1DWT6MhXz0jw61,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000024e6dab0140169c1e47eba712', 'width': None}]",Mellow Bars,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjI2NjUwNywwMDAwMDExOTAwMDAwMTcwNjY2ZWUyYTEwMDAwMDE3MDA2ZjkwYjhj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWT6MhXz0jw61/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DWT6MhXz0jw61
False,Chill beats for cool coffeehouse vibes.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX9RwfGbeGQwP'},https://api.spotify.com/v1/playlists/37i9dQZF1DX9RwfGbeGQwP,37i9dQZF1DX9RwfGbeGQwP,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/649e5aec793a1b48784526c70e5980f6d00dc4bf', 'width': None}]",Lo-Fi Cafe,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3OTI5NjU4OSwwMDAwMDAwNTAwMDAwMTZmYjU2OTg4ODQwMDAwMDE2YzhiOGU3MGRk,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX9RwfGbeGQwP/tracks', 'total': 115}",playlist,spotify:playlist:37i9dQZF1DX9RwfGbeGQwP
False,Fall into a trance with this collection of alternative electronica. #SpotifyTBT,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWWwaxRea1LWS'},https://api.spotify.com/v1/playlists/37i9dQZF1DWWwaxRea1LWS,37i9dQZF1DWWwaxRea1LWS,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000224794249b41c9b47c9cecc46', 'width': None}]",#ThrowbackThursday,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc3OTY2MCwwMDAwMDEwZDAwMDAwMTcwODUwNGY3MzcwMDAwMDE3MDgzOGQ2NWNi,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWWwaxRea1LWS/tracks', 'total': 51}",playlist,spotify:playlist:37i9dQZF1DWWwaxRea1LWS
False,Focus to the sound of soft electronic music.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0wMD4IoQ5aJ'},https://api.spotify.com/v1/playlists/37i9dQZF1DX0wMD4IoQ5aJ,37i9dQZF1DX0wMD4IoQ5aJ,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/5e274a54ff0accce77bf64316efb6bce300967f2', 'width': None}]",Electronic Focus,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjcyMTMxNSwwMDAwMDAxZTAwMDAwMTcwODE4YWIxNjgwMDAwMDE2YmZmZWYyYTgz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0wMD4IoQ5aJ/tracks', 'total': 86}",playlist,spotify:playlist:37i9dQZF1DX0wMD4IoQ5aJ
False,You bring the ingredients. We bring the flavor. Enjoy la cena!,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX2zAr9vdmFlU'},https://api.spotify.com/v1/playlists/37i9dQZF1DX2zAr9vdmFlU,37i9dQZF1DX2zAr9vdmFlU,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000025d135ab38636e6426a84a502', 'width': None}]",Latin Dinner,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDg1MywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX2zAr9vdmFlU/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX2zAr9vdmFlU
False,"music that breaks the rules, just a little bit. Cover: Cavetown",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXdwmD5Q7Gxah'},https://api.spotify.com/v1/playlists/37i9dQZF1DXdwmD5Q7Gxah,37i9dQZF1DXdwmD5Q7Gxah,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000020277c9d4e9fd62e46e9a61a2', 'width': None}]",Lorem,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyNjcxOSwwMDAwMDE0YTAwMDAwMTcwODdkMzA4MTUwMDAwMDE3MDVkZmY4MDQy,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXdwmD5Q7Gxah/tracks', 'total': 105}",playlist,spotify:playlist:37i9dQZF1DXdwmD5Q7Gxah
False,Jazz that captures the essence of autumn.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX7UE7qrnkvsf'},https://api.spotify.com/v1/playlists/37i9dQZF1DX7UE7qrnkvsf,37i9dQZF1DX7UE7qrnkvsf,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000028425afaf63553e0ae4baed5b', 'width': None}]",Jazz for Autumn,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MDM3NjkyMywwMDAwMDAxZDAwMDAwMTZmZjVjZTFmMWUwMDAwMDE2ZTdlNzM2Yjky,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX7UE7qrnkvsf/tracks', 'total': 128}",playlist,spotify:playlist:37i9dQZF1DX7UE7qrnkvsf
False,"Lyrical, lo-fi, and lowlife raps. Cover: Big Baby Scumbag.",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWSTeI2WWFaia'},https://api.spotify.com/v1/playlists/37i9dQZF1DWSTeI2WWFaia,37i9dQZF1DWSTeI2WWFaia,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002ef5ad2c508a9a90a6cbefff5', 'width': None}]",Spilled Ink,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgzMDg1NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWSTeI2WWFaia/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWSTeI2WWFaia
False,Chilled R&B jams for your most relaxed moods.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX2UgsUIg75Vg'},https://api.spotify.com/v1/playlists/37i9dQZF1DX2UgsUIg75Vg,37i9dQZF1DX2UgsUIg75Vg,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000022b29b4a26e620ccd2bd2d2f8', 'width': None}]",Chilled R&B,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjI2MTk3NCwwMDAwMDBkOTAwMDAwMTcwNjYyOWI0ZWEwMDAwMDE2ZDE1MjYzZjhm,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX2UgsUIg75Vg/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DX2UgsUIg75Vg
